Estado,Codigo_Estado_IBGE,Populacao_Estimada,Casos_Covid,Mortes_Covid,Vacinacao_Covid,Populacao_Estimada_2
GO,11,7113540,695562,19657,3453993,7113540
SC,12,7252502,1074422,17252,3709370,7252502
PA,13,8690745,561798,15701,3264559,8690745
MG,14,21292666,1855624,47756,10733289,21292666
MS,15,2809394,341841,8479,1899864,2809394
ES,16,4064052,526670,11634,2464858,4064052
SP,17,46289333,3853276,131960,27174708,46289333
PB,21,4039277,405999,8767,2059614,4039277
BA,22,14930634,1152031,24670,6726701,14930634
PR,23,11516840,1319888,32211,6510926,11516840
PE,24,9616621,566979,18068,4544063,9616621
AP,25,861773,118633,1865,318772,861773
RJ,26,17366189,977770,56559,9154273,17366189
AM,27,4207714,407028,13367,2057303,4207714
TO,28,1590248,201821,3301,697643,1590248
CE,29,9187103,899792,22969,3524486,9187103
SE,31,2318822,268229,5794,965302,2318822
AL,32,3351543,222601,5499,1573090,3351543
MT,33,3526220,463263,12278,1515506,3526220
DF,35,3055149,436649,9357,1396696,3055149
RR,41,631181,114714,1778,249566,631181
AC,42,894470,86400,1764,420356,894470
RO,43,1796460,251839,6257,779381,1796460
PI,50,3281480,301775,6689,1559009,3281480
RS,51,11422973,1247381,32142,7696588,11422973
MA,52,7114598,325011,9282,3352986,7114598
RN,53,3534165,349549,6896,1853250,3534165
